id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada,objectid
55195,90082023,90082,23,SAN CRISTÓBAL -CONEXIÓN VIAL,255D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.57194003,6.25174741,ORIGEN-DESTINO,2A,REGLAMENTARIA,1198
51165,90093074,90093,74,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.60588301,6.27915608,DESTINO-ORIGEN,2A,REGLAMENTARIA,1199
52108,90077015,90077,15,AURES IZQUIERDA,253I,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58697358,6.26577325,ORIGEN-DESTINO,2A,REGLAMENTARIA,1200
51765,90069007,90069,7,ROBLEDAL INTEGRADA,250IR,INTEGRADA,PALENQUE ROBLEDAL,-75.59465511,6.2783064,ORIGEN-DESTINO,2A,REGLAMENTARIA,1201
52964,90011033,90011,33,RUTA DE LA SALUD DERECHA,308,CIRCULAR,COINVETRANS,-75.57232203,6.23511438,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1202
52924,90107027,90107,27,ALFONSO LÓPEZ CALLE 94,261,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.5729009,6.25614378,DESTINO-ORIGEN,2B,REGLAMENTARIA,1203
51633,90082033,90082,33,SAN CRISTÓBAL -CONEXIÓN VIAL,255D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.5974107,6.27394753,DESTINO-ORIGEN,2A,REGLAMENTARIA,1204
51779,90080037,90080,37,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.59468669,6.26271021,DESTINO-ORIGEN,2A,REGLAMENTARIA,1205
53210,90007021,90007,21,DIRECTA CIRCULAR,310,CIRCULAR,COONATRA,-75.56917424,6.24396756,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1206
51178,90016078,90016,78,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.6057867,6.23189875,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA,1207
50958,90086019,90086,19,PALMITAS-CENTRO,255P,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.61174363,6.27523956,ORIGEN-DESTINO,2A,REGLAMENTARIA,1208
53221,90005026,90005,26,CIRCULAR,300,CIRCULAR,COONATRA,-75.56894226,6.24021151,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1209
53280,90072017,90072,17,MORAVIA,250M,INTEGRADA,PALENQUE ROBLEDAL,-75.5677437,6.27453387,ORIGEN-DESTINO,2A,REGLAMENTARIA,1210
51833,90096005,90096,5,SEMINARIO INTEGRADA,260I,INTEGRADA,PALENQUE ROBLEDAL,-75.59285223,6.29130652,ORIGEN-DESTINO,2A,REGLAMENTARIA,1211
53508,90012025,90012,25,RUTA DE LA SALUD DERECHA DIRECTA,308D,CIRCULAR,COINVETRANS,-75.56447799,6.24406629,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1212
52649,90004005,90004,5,TERMINAL DEL NORTE-TERMINAL DEL SUR,313,CIRCULAR,COMBUSES,-75.57684738,6.21369991,ORIGEN-DESTINO,CIRCULAR 313,REGLAMENTARIA,1213
